gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.018367052,20250620173631449,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.1203275390625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3464705344457819
  y: 0.2091275636031094
  z: -0.02771275945003259
  w: 0.9140327312880794","translation: 
  x: -0.1533673828125
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174142722330861
  y: 0.10828709979644129
  z: 0.06201786549784912
  w: 0.9916754359035993",29,4,5,4,4,-27,-30,-36,1750455391449213981
0,0.018470764,20250620173631449,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.1203275390625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3464705344457819
  y: 0.2091275636031094
  z: -0.02771275945003259
  w: 0.9140327312880794","translation: 
  x: -0.1533673828125
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174142722330861
  y: 0.10828709979644129
  z: 0.06201786549784912
  w: 0.9916754359035993",-113,-12,-2,-9,3,22,9,-14,1750455391449350118
0,0.025866509,20250620173631457,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.1203275390625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3464705344457819
  y: 0.2091275636031094
  z: -0.02771275945003259
  w: 0.9140327312880794","translation: 
  x: -0.1533673828125
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174142722330861
  y: 0.10828709979644129
  z: 0.06201786549784912
  w: 0.9916754359035993",33,4,9,6,3,-2,7,1,1750455391456714153
0,0.025970221,20250620173631457,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.1203275390625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3464705344457819
  y: 0.2091275636031094
  z: -0.02771275945003259
  w: 0.9140327312880794","translation: 
  x: -0.1533673828125
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174142722330861
  y: 0.10828709979644129
  z: 0.06201786549784912
  w: 0.9916754359035993",1,5,0,8,-5,24,35,32,1750455391456857204
0,0.041323662,20250620173631472,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.12043916015625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3465956416292388
  y: 0.20888522114393362
  z: -0.02771300128560663
  w: 0.9140407076006026","translation: 
  x: -0.1533673828125
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174250565932824
  y: 0.10804660580194421
  z: 0.061897886035690075
  w: 0.9917091287335513",-11,-8,3,-6,16,-29,-40,-36,1750455391471949815
0,0.041491986,20250620173631472,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.12043916015625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3465956416292388
  y: 0.20888522114393362
  z: -0.02771300128560663
  w: 0.9140407076006026","translation: 
  x: -0.1533673828125
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174250565932824
  y: 0.10804660580194421
  z: 0.061897886035690075
  w: 0.9917091287335513",2,-2,4,-6,-37,-8,-6,-11,1750455391472132205
0,0.048696757,20250620173631480,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.12043916015625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3465956416292388
  y: 0.20888522114393362
  z: -0.02771300128560663
  w: 0.9140407076006026","translation: 
  x: -0.1533673828125
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174250565932824
  y: 0.10804660580194421
  z: 0.061897886035690075
  w: 0.9917091287335513",-20,-3,0,6,18,24,14,3,1750455391479555368
0,0.048802614,20250620173631480,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.12043916015625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3465956416292388
  y: 0.20888522114393362
  z: -0.02771300128560663
  w: 0.9140407076006026","translation: 
  x: -0.1533673828125
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174250565932824
  y: 0.10804660580194421
  z: 0.061897886035690075
  w: 0.9917091287335513",-8,-3,1,-1,24,25,16,7,1750455391479715108
0,0.056242466,20250620173631487,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.12043916015625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3465956416292388
  y: 0.20888522114393362
  z: -0.02771300128560663
  w: 0.9140407076006026","translation: 
  x: -0.15347900390625
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174250565932824
  y: 0.10804660580194421
  z: 0.061897886035690075
  w: 0.9917091287335513",-17,-1,0,-7,7,-29,-36,-29,1750455391487055540
0,0.056344032,20250620173631487,None,"translation: 
  x: -0.09833818359375
  y: -0.037058203125
  z: 0.122783203125
rotation: 
  x: 0.151264200858932
  y: 0.2523511728615112
  z: 0.041631228807825514
  w: 0.9548323768504495","translation: 
  x: -0.12043916015625
  y: -0.0368349609375
  z: 0.13070830078125
rotation: 
  x: 0.3465956416292388
  y: 0.20888522114393362
  z: -0.02771300128560663
  w: 0.9140407076006026","translation: 
  x: -0.15347900390625
  y: -0.03850927734375
  z: 0.1381869140625
rotation: 
  x: 0.03174250565932824
  y: 0.10804660580194421
  z: 0.061897886035690075
  w: 0.9917091287335513",9,-10,5,0,-6,16,15,9,1750455391487212657
