gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.071928262,20250620173703159,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390123647028591
  y: 0.3956633519830618
  z: 0.08911886669164922
  w: 0.9069370693866602","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30227679194430274
  y: 0.3382911916307201
  z: -0.012696601923347133
  w: 0.8910817061395258","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008424008126779665
  y: 0.18972331346399415
  z: 0.09998931385264556
  w: 0.9766965944092363",79,6,8,18,1,-3,-45,-43,1750455423159162521
0,0.072087526,20250620173703159,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390123647028591
  y: 0.3956633519830618
  z: 0.08911886669164922
  w: 0.9069370693866602","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30227679194430274
  y: 0.3382911916307201
  z: -0.012696601923347133
  w: 0.8910817061395258","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008424008126779665
  y: 0.18972331346399415
  z: 0.09998931385264556
  w: 0.9766965944092363",13,-1,-7,-2,7,1,11,8,1750455423159306526
0,0.087111234,20250620173703175,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390549755452528
  y: 0.39555606867809423
  z: 0.08924428586533545
  w: 0.9069709982128277","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30228974069298
  y: 0.3381835952017587
  z: -0.012575057872123164
  w: 0.8911198777536593","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.00830202035740752
  y: 0.18960349433902768
  z: 0.1001125984275613
  w: 0.9767082773420614",18,8,4,7,6,2,19,24,1750455423174357175
0,0.087206125,20250620173703175,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390549755452528
  y: 0.39555606867809423
  z: 0.08924428586533545
  w: 0.9069709982128277","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30228974069298
  y: 0.3381835952017587
  z: -0.012575057872123164
  w: 0.8911198777536593","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.00830202035740752
  y: 0.18960349433902768
  z: 0.1001125984275613
  w: 0.9767082773420614",6,-7,10,-9,-23,-3,-5,-10,1750455423174500465
0,0.094556331,20250620173703182,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390549755452528
  y: 0.39555606867809423
  z: 0.08924428586533545
  w: 0.9069709982128277","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30228974069298
  y: 0.3381835952017587
  z: -0.012575057872123164
  w: 0.8911198777536593","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.00830202035740752
  y: 0.18960349433902768
  z: 0.1001125984275613
  w: 0.9767082773420614",9,5,4,-6,12,2,4,8,1750455423181755542
0,0.094761848,20250620173703182,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390549755452528
  y: 0.39555606867809423
  z: 0.08924428586533545
  w: 0.9069709982128277","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30228974069298
  y: 0.3381835952017587
  z: -0.012575057872123164
  w: 0.8911198777536593","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.00830202035740752
  y: 0.18960349433902768
  z: 0.1001125984275613
  w: 0.9767082773420614",98,0,6,24,11,-1,-22,-26,1750455423182205200
0,0.102191686,20250620173703190,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11389838469697897
  y: 0.3954092904968005
  z: 0.08923871298337795
  w: 0.9070364397626515","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.3022568561973653
  y: 0.3381468060043223
  z: -0.012573689898355672
  w: 0.891145012213557","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.00830202035740752
  y: 0.18960349433902768
  z: 0.1001125984275613
  w: 0.9767082773420614",-9,0,-3,-2,-1,-3,-3,-6,1750455423189263343
0,0.102367401,20250620173703190,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11389838469697897
  y: 0.3954092904968005
  z: 0.08923871298337795
  w: 0.9070364397626515","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.3022568561973653
  y: 0.3381468060043223
  z: -0.012573689898355672
  w: 0.891145012213557","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.00830202035740752
  y: 0.18960349433902768
  z: 0.1001125984275613
  w: 0.9767082773420614",-6,1,13,-10,-12,1,14,10,1750455423189430713
0,0.117967128,20250620173703205,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.10525869140625
rotation: 
  x: 0.11402988148267093
  y: 0.39519777982805765
  z: 0.08924608497198334
  w: 0.9071113698246736","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30226979337436066
  y: 0.3380391994562216
  z: -0.012452148192320189
  w: 0.8911831549405625","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008302212480797325
  y: 0.18948579073819777
  z: 0.10011491520961481
  w: 0.9767308800938032",16,11,-4,5,3,8,21,19,1750455423204542398
0,0.118160009,20250620173703206,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.10525869140625
rotation: 
  x: 0.11402988148267093
  y: 0.39519777982805765
  z: 0.08924608497198334
  w: 0.9071113698246736","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30226979337436066
  y: 0.3380391994562216
  z: -0.012452148192320189
  w: 0.8911831549405625","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008302212480797325
  y: 0.18948579073819777
  z: 0.10011491520961481
  w: 0.9767308800938032",-37,-2,-1,3,-1,-7,-4,3,1750455423204979181
