gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.058068991,20250509170927496,None,-1,-8,1,-1,-4,10,-5,-3,1746824967496500968,"translation: 
  x: -0.31064150390625
  y: 0.0125015625
  z: 0.09923115234375
rotation: 
  x: -0.2598963530059822
  y: -0.4431299959660475
  z: 0.6963122581240592
  w: 0.501237400395755","translation: 
  x: -0.30595341796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.2737249957999042
  y: 0.2237903288587085
  z: 0.607640189159734
  w: 0.7111722125488146","translation: 
  x: -0.30751611328125
  y: -0.051457324218749996
  z: 0.08963173828125
rotation: 
  x: -0.06347997643642982
  y: -0.3840538574404004
  z: 0.5697327885169576
  w: 0.7237938082530622","translation: 
  x: -0.30840908203125
  y: -0.10626328125
  z: 0.07054453125
rotation: 
  x: 0.028929091967168953
  y: -0.1778467805745366
  z: 0.5827320044357156
  w: 0.7924374052778937"
0,0.058236361,20250509170927497,None,-7,-3,1,-3,11,3,-4,2,1746824967496767997,"translation: 
  x: -0.31064150390625
  y: 0.0125015625
  z: 0.09923115234375
rotation: 
  x: -0.2598963530059822
  y: -0.4431299959660475
  z: 0.6963122581240592
  w: 0.501237400395755","translation: 
  x: -0.30595341796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.2737249957999042
  y: 0.2237903288587085
  z: 0.607640189159734
  w: 0.7111722125488146","translation: 
  x: -0.30751611328125
  y: -0.051457324218749996
  z: 0.08963173828125
rotation: 
  x: -0.06347997643642982
  y: -0.3840538574404004
  z: 0.5697327885169576
  w: 0.7237938082530622","translation: 
  x: -0.30840908203125
  y: -0.10626328125
  z: 0.07054453125
rotation: 
  x: 0.028929091967168953
  y: -0.1778467805745366
  z: 0.5827320044357156
  w: 0.7924374052778937"
0,0.073316813,20250509170927512,None,-8,4,-5,-2,0,-3,1,2,1746824967511813402,"translation: 
  x: -0.31064150390625
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.2599042175208768
  y: -0.4430213270940637
  z: 0.6964554067433545
  w: 0.5011304898652884","translation: 
  x: -0.305841796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.27358267190554303
  y: 0.22414002035634847
  z: 0.6073510900178833
  w: 0.7113637792028553","translation: 
  x: -0.3074044921875
  y: -0.051457324218749996
  z: 0.08963173828125
rotation: 
  x: -0.06360045720094608
  y: -0.38367799804716607
  z: 0.5698405647102041
  w: 0.7238977182372557","translation: 
  x: -0.3082974609375
  y: -0.10626328125
  z: 0.07065615234375
rotation: 
  x: 0.029908100970862994
  y: -0.17737334983944458
  z: 0.5829027842280439
  w: 0.7923815649055984"
0,0.073472977,20250509170927512,None,3,2,1,-2,1,-9,-7,-2,1746824967511992692,"translation: 
  x: -0.31064150390625
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.2599042175208768
  y: -0.4430213270940637
  z: 0.6964554067433545
  w: 0.5011304898652884","translation: 
  x: -0.305841796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.27358267190554303
  y: 0.22414002035634847
  z: 0.6073510900178833
  w: 0.7113637792028553","translation: 
  x: -0.3074044921875
  y: -0.051457324218749996
  z: 0.08963173828125
rotation: 
  x: -0.06360045720094608
  y: -0.38367799804716607
  z: 0.5698405647102041
  w: 0.7238977182372557","translation: 
  x: -0.3082974609375
  y: -0.10626328125
  z: 0.07065615234375
rotation: 
  x: 0.029908100970862994
  y: -0.17737334983944458
  z: 0.5829027842280439
  w: 0.7923815649055984"
0,0.080485344,20250509170927519,None,0,-7,-5,0,-6,-7,-1,4,1746824967519006729,"translation: 
  x: -0.3105298828125
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.25989617291094935
  y: -0.4428855403104388
  z: 0.6965559242037938
  w: 0.5011149787691156","translation: 
  x: -0.30573017578125
  y: -0.01506884765625
  z: 0.0939849609375
rotation: 
  x: 0.2733528656492433
  y: 0.22476222673526436
  z: 0.606894638294948
  w: 0.7116453121346312","translation: 
  x: -0.3074044921875
  y: -0.051457324218749996
  z: 0.089743359375
rotation: 
  x: -0.0637182696639489
  y: -0.3831640775385739
  z: 0.5699245231053206
  w: 0.7240934399359097","translation: 
  x: -0.30818583984375
  y: -0.10637490234375
  z: 0.0707677734375
rotation: 
  x: 0.030884248586768397
  y: -0.17688251463330995
  z: 0.5830164871557546
  w: 0.7923701880502518"
0,0.080627442,20250509170927519,None,5,-11,-5,-11,-11,3,-1,8,1746824967519150018,"translation: 
  x: -0.3105298828125
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.25989617291094935
  y: -0.4428855403104388
  z: 0.6965559242037938
  w: 0.5011149787691156","translation: 
  x: -0.30573017578125
  y: -0.01506884765625
  z: 0.0939849609375
rotation: 
  x: 0.2733528656492433
  y: 0.22476222673526436
  z: 0.606894638294948
  w: 0.7116453121346312","translation: 
  x: -0.3074044921875
  y: -0.051457324218749996
  z: 0.089743359375
rotation: 
  x: -0.0637182696639489
  y: -0.3831640775385739
  z: 0.5699245231053206
  w: 0.7240934399359097","translation: 
  x: -0.30818583984375
  y: -0.10637490234375
  z: 0.0707677734375
rotation: 
  x: 0.030884248586768397
  y: -0.17688251463330995
  z: 0.5830164871557546
  w: 0.7923701880502518"
0,0.087957621,20250509170927526,None,-9,5,2,-5,4,3,-5,-3,1746824967526458024,"translation: 
  x: -0.3105298828125
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.26000194153158873
  y: -0.4427357004390011
  z: 0.6966343100097544
  w: 0.5010835539845875","translation: 
  x: -0.30573017578125
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.2729802429993924
  y: 0.2257336624802668
  z: 0.60614799038103
  w: 0.7121170650337459","translation: 
  x: -0.30729287109375
  y: -0.051457324218749996
  z: 0.089743359375
rotation: 
  x: -0.06383902694836141
  y: -0.38254590909400504
  z: 0.5700349060207415
  w: 0.7243227264083684","translation: 
  x: -0.30818583984375
  y: -0.10637490234375
  z: 0.07087939453125
rotation: 
  x: 0.031982963754800704
  y: -0.17627251779363445
  z: 0.5831397628117672
  w: 0.7923718234061505"
0,0.088150501,20250509170927526,None,12,5,4,3,4,-1,-5,1,1746824967526602029,"translation: 
  x: -0.3105298828125
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.26000194153158873
  y: -0.4427357004390011
  z: 0.6966343100097544
  w: 0.5010835539845875","translation: 
  x: -0.30573017578125
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.2729802429993924
  y: 0.2257336624802668
  z: 0.60614799038103
  w: 0.7121170650337459","translation: 
  x: -0.30729287109375
  y: -0.051457324218749996
  z: 0.089743359375
rotation: 
  x: -0.06383902694836141
  y: -0.38254590909400504
  z: 0.5700349060207415
  w: 0.7243227264083684","translation: 
  x: -0.30818583984375
  y: -0.10637490234375
  z: 0.07087939453125
rotation: 
  x: 0.031982963754800704
  y: -0.17627251779363445
  z: 0.5831397628117672
  w: 0.7923718234061505"
0,0.103503227,20250509170927542,None,-3,2,-4,1,8,0,-1,0,1746824967541797637,"translation: 
  x: -0.31041826171875
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.26000792528201
  y: -0.44250175077337384
  z: 0.6967724119763911
  w: 0.501095086048193","translation: 
  x: -0.30550693359375
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27273777584643893
  y: 0.2270780049571962
  z: 0.6051750917058181
  w: 0.7126098467393304","translation: 
  x: -0.30729287109375
  y: -0.051345703125
  z: 0.08985498046875
rotation: 
  x: -0.0638441381662348
  y: -0.38172202685624523
  z: 0.5702026183068505
  w: 0.724624864540669","translation: 
  x: -0.30807421875
  y: -0.10637490234375
  z: 0.07087939453125
rotation: 
  x: 0.03295734437833377
  y: -0.1756504391126751
  z: 0.5833449954965075
  w: 0.7923189717028312"
0,0.103804589,20250509170927542,None,0,-9,0,-4,-7,-5,-9,3,1746824967542018413,"translation: 
  x: -0.31041826171875
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.26000792528201
  y: -0.44250175077337384
  z: 0.6967724119763911
  w: 0.501095086048193","translation: 
  x: -0.30550693359375
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27273777584643893
  y: 0.2270780049571962
  z: 0.6051750917058181
  w: 0.7126098467393304","translation: 
  x: -0.30729287109375
  y: -0.051345703125
  z: 0.08985498046875
rotation: 
  x: -0.0638441381662348
  y: -0.38172202685624523
  z: 0.5702026183068505
  w: 0.724624864540669","translation: 
  x: -0.30807421875
  y: -0.10637490234375
  z: 0.07087939453125
rotation: 
  x: 0.03295734437833377
  y: -0.1756504391126751
  z: 0.5833449954965075
  w: 0.7923189717028312"
