gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.073162317,20250509170419346,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.2517448154964523
  y: 0.16664969600031876
  z: 0.7396072222490339
  w: 0.6015260455630553","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.305220187924529
  y: 0.5062992477292088
  z: 0.3809147945298122
  w: 0.7109188617138129","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10937122391534906
  y: -0.14757791262684933
  z: 0.6451193285631918
  w: 0.7416736121759607","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.07007424518572347
  y: 0.007935236824167292
  z: 0.6156522969888563
  w: 0.7848559621934083",-2,-9,-9,11,15,7,5,2,1746824659345531463
0,0.073319912,20250509170419346,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.2517448154964523
  y: 0.16664969600031876
  z: 0.7396072222490339
  w: 0.6015260455630553","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.305220187924529
  y: 0.5062992477292088
  z: 0.3809147945298122
  w: 0.7109188617138129","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10937122391534906
  y: -0.14757791262684933
  z: 0.6451193285631918
  w: 0.7416736121759607","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.07007424518572347
  y: 0.007935236824167292
  z: 0.6156522969888563
  w: 0.7848559621934083",-8,1,-4,2,-9,1,3,2,1746824659345716953
0,0.096595764,20250509170419369,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.251869401628411
  y: 0.16640717131339022
  z: 0.7396145589262789
  w: 0.6015320125172956","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30519836423617014
  y: 0.5061409672492644
  z: 0.3810096379124347
  w: 0.7109901093245816","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10937054028538451
  y: -0.14769905551932505
  z: 0.6452373615497126
  w: 0.7415469109751236","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06983415780348994
  y: 0.007935699750396588
  z: 0.6159323883192426
  w: 0.7846575737815207",-5,-5,-9,2,0,0,-10,-1,1746824659368819236
0,0.096727132,20250509170419369,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.251869401628411
  y: 0.16640717131339022
  z: 0.7396145589262789
  w: 0.6015320125172956","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30519836423617014
  y: 0.5061409672492644
  z: 0.3810096379124347
  w: 0.7109901093245816","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10937054028538451
  y: -0.14769905551932505
  z: 0.6452373615497126
  w: 0.7415469109751236","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06983415780348994
  y: 0.007935699750396588
  z: 0.6159323883192426
  w: 0.7846575737815207",-3,3,-5,2,-2,-1,6,-7,1746824659369050264
0,0.097293853,20250509170419370,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.251869401628411
  y: 0.16640717131339022
  z: 0.7396145589262789
  w: 0.6015320125172956","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30519836423617014
  y: 0.5061409672492644
  z: 0.3810096379124347
  w: 0.7109901093245816","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10937054028538451
  y: -0.14769905551932505
  z: 0.6452373615497126
  w: 0.7415469109751236","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06983415780348994
  y: 0.007935699750396588
  z: 0.6159323883192426
  w: 0.7846575737815207",2,0,0,2,2,1,-4,5,1746824659369859933
0,0.097516775,20250509170419370,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.251869401628411
  y: 0.16640717131339022
  z: 0.7396145589262789
  w: 0.6015320125172956","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30519836423617014
  y: 0.5061409672492644
  z: 0.3810096379124347
  w: 0.7109901093245816","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10937054028538451
  y: -0.14769905551932505
  z: 0.6452373615497126
  w: 0.7415469109751236","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06983415780348994
  y: 0.007935699750396588
  z: 0.6159323883192426
  w: 0.7846575737815207",0,-2,8,-11,-14,-5,-1,-10,1746824659370081424
0,0.102699041,20250509170419375,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25210830346221663
  y: 0.16615951622860864
  z: 0.739599081052837
  w: 0.6015194242897537","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.3050923063221103
  y: 0.5060454620668856
  z: 0.38115173282818265
  w: 0.711027447787103","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10925785145050805
  y: -0.14783380794029638
  z: 0.6452927405222185
  w: 0.7414884801233362","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06971409902007425
  y: 0.007935930711567117
  z: 0.6160724057010414
  w: 0.7845583192696971",0,-2,-1,-3,-7,-5,-4,2,1746824659375229835
0,0.102950096,20250509170419376,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25210830346221663
  y: 0.16615951622860864
  z: 0.739599081052837
  w: 0.6015194242897537","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.3050923063221103
  y: 0.5060454620668856
  z: 0.38115173282818265
  w: 0.711027447787103","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10925785145050805
  y: -0.14783380794029638
  z: 0.6452927405222185
  w: 0.7414884801233362","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06971409902007425
  y: 0.007935930711567117
  z: 0.6160724057010414
  w: 0.7845583192696971",-1,4,0,-6,5,-2,-2,3,1746824659375369071
0,0.118526697,20250509170419391,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25237506222709055
  y: 0.16580809603502128
  z: 0.7395431794433902
  w: 0.6015732615350146","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30497858246754234
  y: 0.505815158992405
  z: 0.38128427263656317
  w: 0.711169032375274","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10912469181031616
  y: -0.14806292076724104
  z: 0.6453492680102253
  w: 0.7414131745591277","translation: 
  x: -0.27938759765625
  y: -0.079920703125
  z: 0.019198828125
rotation: 
  x: 0.06946729832828792
  y: 0.007935631619224458
  z: 0.6162933602130009
  w: 0.7844066639002636",-3,-4,1,0,7,-2,-3,-8,1746824659390617370
0,0.118835687,20250509170419391,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25237506222709055
  y: 0.16580809603502128
  z: 0.7395431794433902
  w: 0.6015732615350146","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30497858246754234
  y: 0.505815158992405
  z: 0.38128427263656317
  w: 0.711169032375274","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10912469181031616
  y: -0.14806292076724104
  z: 0.6453492680102253
  w: 0.7414131745591277","translation: 
  x: -0.27938759765625
  y: -0.079920703125
  z: 0.019198828125
rotation: 
  x: 0.06946729832828792
  y: 0.007935631619224458
  z: 0.6162933602130009
  w: 0.7844066639002636",-2,3,2,2,-9,7,8,-1,1746824659390800237
